Ticket Number,Status,Creator Area,Use Case,Subject,Priority,Description,Start,SLA Ticket,Network Element Identifier,Loc Identifier,Assignee Area,Response Subject,Response Description
Z_INM200085A001,In Progress,G-IP-OPS,Network-Incident,Packet Loss Detected,1,RoboNOC ticket for OXV88OK; detected event: packet loss detected,3/5/2026 1:55,3/6/2026 21:55,OXV88OK,5UA27,G-CORE-OPS,Issue resolved,Ticket closed after validation checks passed.
Z_INM200086A001,In Progress,G-RAN-BO-VFRO-ZV,Network-Incident,High CPU Usage,2,RoboNOC ticket for OXV94EA; detected event: high cpu usage,3/5/2026 1:56,3/6/2026 5:56,OXV94EA,KDMDN,G-RAN-FO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,Network element unreachable briefly; connectivity restored.
Z_INM200087A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Packet Loss Detected,5,RoboNOC ticket for OXVAWM0; detected event: packet loss detected,3/5/2026 1:57,3/5/2026 13:57,OXVAWM0,8BL0A,G-RAN-FO-VFRO-ZV,Root cause fixed,Alarm cleared after software patch deployment.
Z_INM200088A001,Open,G-CORE-OPS,Network-Incident,High CPU Usage,4,RoboNOC ticket for OXV586J; detected event: high cpu usage,3/5/2026 1:58,3/7/2026 23:58,OXV586J,07PIC,G-RAN-FO-VFRO-ZV,No impact confirmed,Network element unreachable briefly; connectivity restored. Additional validation checks completed successfully.
Z_INM200089A001,Closed,G-IP-OPS,Network-Incident,High CPU Usage,5,RoboNOC ticket for OXVZO3F; detected event: high cpu usage,3/5/2026 1:59,3/5/2026 22:59,OXVZO3F,WF3GN,G-RAN-FO-VFRO-ZV,No impact confirmed,Manual intervention performed: service restarted and stability confirmed.
Z_INM200090A001,Open,G-RAN-BO-VFRO-ZV,Network-Incident,Link Down,1,RoboNOC ticket for OXVAFGS; detected event: link down,3/5/2026 2:00,3/6/2026 0:00,OXVAFGS,450AW,G-RAN-BO-VFRO-ZV,Root cause fixed,"Intermittent issue mitigated, root cause still under observation."
Z_INM200091A001,Closed,G-CORE-OPS,Network-Incident,Link Down,4,RoboNOC ticket for OXVKVHN; detected event: link down,3/5/2026 2:01,3/6/2026 12:01,OXVKVHN,AU9E7,G-RAN-BO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,Alarm cleared after software patch deployment. Additional validation checks completed successfully.
Z_INM200092A001,Open,G-CORE-OPS,Network-Incident,Störung - RBS - Huawei 4G,4,RoboNOC ticket for OXV0CQH; detected event: störung - rbs - huawei 4g,3/5/2026 2:02,3/5/2026 11:02,OXV0CQH,LMGW0,G-RAN-BO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,"Temporary degradation observed, system self-recovered."
Z_INM200093A001,In Progress,G-CORE-OPS,Network-Incident,Störung - RBS - Huawei 4G,1,RoboNOC ticket for OXVNSKJ; detected event: störung - rbs - huawei 4g,3/5/2026 2:03,3/5/2026 13:03,OXVNSKJ,ON4J2,G-RAN-BO-VFRO-ZV,Issue resolved,Service impact minimal; corrective action implemented.
Z_INM200094A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Packet Loss Detected,2,RoboNOC ticket for OXVJ7NZ; detected event: packet loss detected,3/5/2026 2:04,3/7/2026 2:04,OXVJ7NZ,SY76R,G-RAN-BO-VFRO-ZV,Root cause fixed,Service impact minimal; corrective action implemented. Additional validation checks completed successfully.
Z_INM200095A001,Open,G-RAN-BO-VFRO-ZV,Network-Incident,Packet Loss Detected,5,RoboNOC ticket for OXV728K; detected event: packet loss detected,3/5/2026 2:05,3/5/2026 7:05,OXV728K,IZRS6,G-IP-OPS,Issue resolved,Signal fluctuation detected; no persistent fault found.
Z_INM200096A001,Open,G-IP-OPS,Network-Incident,Störung - RBS - Huawei 4G,5,RoboNOC ticket for OXV622A; detected event: störung - rbs - huawei 4g,3/5/2026 2:06,3/7/2026 12:06,OXV622A,LCZXA,G-RAN-FO-VFRO-ZV,Issue resolved,Issue correlated with planned maintenance. No action needed. Additional validation checks completed successfully. No recurrence observed in the last monitoring window.
Z_INM200097A001,In Progress,G-CORE-OPS,Network-Incident,Störung - RBS - Huawei 4G,2,RoboNOC ticket for OXVJC4Q; detected event: störung - rbs - huawei 4g,3/5/2026 2:07,3/6/2026 17:07,OXVJC4Q,Y9ZRA,G-IP-OPS,Root cause fixed,Hardware module reset remotely. Traffic restored without errors. Additional validation checks completed successfully.
Z_INM200098A001,Open,G-IP-OPS,Network-Incident,High CPU Usage,2,RoboNOC ticket for OXV3JHM; detected event: high cpu usage,3/5/2026 2:08,3/7/2026 18:08,OXV3JHM,LMI06,G-CORE-OPS,Kein Fehler - Ticket zurückgezogen,Alarm cleared automatically after transient spike. No further action required.
Z_INM200099A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Link Down,2,RoboNOC ticket for OXVT6C0; detected event: link down,3/5/2026 2:09,3/7/2026 20:09,OXVT6C0,RIW52,G-RAN-BO-VFRO-ZV,Monitoring ongoing,Signal fluctuation detected; no persistent fault found.
Z_INM200100A001,Closed,G-CORE-OPS,Network-Incident,High CPU Usage,5,RoboNOC ticket for OXV836I; detected event: high cpu usage,3/5/2026 2:10,3/7/2026 18:10,OXV836I,9XQ5A,G-RAN-BO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,High load condition normalized after capacity rebalancing. Additional validation checks completed successfully. No recurrence observed in the last monitoring window.
Z_INM200101A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Transport Congestion,5,RoboNOC ticket for OXVGIPB; detected event: transport congestion,3/5/2026 2:11,3/5/2026 11:11,OXVGIPB,8LFZV,G-RAN-BO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,Capacity threshold updated to prevent future false alerts. Additional validation checks completed successfully. No recurrence observed in the last monitoring window.
Z_INM200102A001,Closed,G-CORE-OPS,Network-Incident,High CPU Usage,4,RoboNOC ticket for OXVMKE0; detected event: high cpu usage,3/5/2026 2:12,3/6/2026 5:12,OXVMKE0,EK7EZ,G-IP-OPS,Monitoring ongoing,False positive alarm generated by monitoring system. Ticket closed. Additional validation checks completed successfully.
Z_INM200103A001,In Progress,G-RAN-BO-VFRO-ZV,Network-Incident,High CPU Usage,5,RoboNOC ticket for OXVIWSJ; detected event: high cpu usage,3/5/2026 2:13,3/8/2026 2:13,OXVIWSJ,PREEX,G-RAN-FO-VFRO-ZV,Issue resolved,Manual intervention performed: service restarted and stability confirmed. No recurrence observed in the last monitoring window.
Z_INM200104A001,In Progress,G-RAN-BO-VFRO-ZV,Network-Incident,High CPU Usage,4,RoboNOC ticket for OXVVU98; detected event: high cpu usage,3/5/2026 2:14,3/6/2026 17:14,OXVVU98,8Q7PV,G-IP-OPS,Kein Fehler - Ticket zurückgezogen,Hardware module reset remotely. Traffic restored without errors.
Z_INM200105A001,Open,G-IP-OPS,Network-Incident,High CPU Usage,1,RoboNOC ticket for OXVUG6L; detected event: high cpu usage,3/5/2026 2:15,3/7/2026 17:15,OXVUG6L,AQULK,G-RAN-BO-VFRO-ZV,Issue resolved,High load condition normalized after capacity rebalancing.
Z_INM200106A001,In Progress,G-CORE-OPS,Network-Incident,High CPU Usage,1,RoboNOC ticket for OXVKWIL; detected event: high cpu usage,3/5/2026 2:16,3/5/2026 18:16,OXVKWIL,059O3,G-IP-OPS,Issue resolved,Ticket closed after validation checks passed. Additional validation checks completed successfully.
Z_INM200107A001,In Progress,G-RAN-FO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,1,RoboNOC ticket for OXV1GB9; detected event: störung - rbs - huawei 4g,3/5/2026 2:17,3/7/2026 15:17,OXV1GB9,MLHF8,G-CORE-OPS,Kein Fehler - Ticket zurückgezogen,Alarm cleared automatically after transient spike. No further action required. Additional validation checks completed successfully.
Z_INM200108A001,Open,G-CORE-OPS,Network-Incident,Transport Congestion,3,RoboNOC ticket for OXVAOEJ; detected event: transport congestion,3/5/2026 2:18,3/6/2026 13:18,OXVAOEJ,W0I2W,G-CORE-OPS,No impact confirmed,Hardware module reset remotely. Traffic restored without errors.
Z_INM200109A001,In Progress,G-CORE-OPS,Network-Incident,Link Down,3,RoboNOC ticket for OXV44IB; detected event: link down,3/5/2026 2:19,3/5/2026 17:19,OXV44IB,K6HLD,G-IP-OPS,No impact confirmed,"Intermittent issue mitigated, root cause still under observation."
Z_INM200110A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,High CPU Usage,2,RoboNOC ticket for OXVHLFE; detected event: high cpu usage,3/5/2026 2:20,3/6/2026 3:20,OXVHLFE,DON1Q,G-IP-OPS,Kein Fehler - Ticket zurückgezogen,Alarm cleared automatically after transient spike. No further action required. Additional validation checks completed successfully.
Z_INM200111A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,High CPU Usage,5,RoboNOC ticket for OXVUF2V; detected event: high cpu usage,3/5/2026 2:21,3/5/2026 10:21,OXVUF2V,CKYAD,G-CORE-OPS,Issue resolved,"Temporary degradation observed, system self-recovered."
Z_INM200112A001,In Progress,G-CORE-OPS,Network-Incident,Link Down,1,RoboNOC ticket for OXVOS34; detected event: link down,3/5/2026 2:22,3/7/2026 19:22,OXVOS34,2S3A7,G-RAN-BO-VFRO-ZV,Root cause fixed,Transport link restored after provider-side fix. Monitoring continued. Additional validation checks completed successfully.
Z_INM200113A001,Open,G-RAN-BO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,4,RoboNOC ticket for OXVT6NB; detected event: störung - rbs - huawei 4g,3/5/2026 2:23,3/6/2026 7:23,OXVT6NB,BNB7Y,G-IP-OPS,Issue resolved,High load condition normalized after capacity rebalancing.
Z_INM200114A001,Closed,G-CORE-OPS,Network-Incident,Störung - RBS - Huawei 4G,3,RoboNOC ticket for OXVRYHN; detected event: störung - rbs - huawei 4g,3/5/2026 2:24,3/7/2026 19:24,OXVRYHN,4BR0B,G-RAN-BO-VFRO-ZV,Monitoring ongoing,Alarm cleared after software patch deployment.
Z_INM200115A001,Closed,G-RAN-FO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,3,RoboNOC ticket for OXVU7ZH; detected event: störung - rbs - huawei 4g,3/5/2026 2:25,3/5/2026 11:25,OXVU7ZH,KCYTL,G-RAN-BO-VFRO-ZV,No impact confirmed,Signal fluctuation detected; no persistent fault found. Additional validation checks completed successfully.
Z_INM200116A001,Closed,G-RAN-FO-VFRO-ZV,Network-Incident,Link Down,3,RoboNOC ticket for OXV5PVZ; detected event: link down,3/5/2026 2:26,3/7/2026 10:26,OXV5PVZ,4KM5T,G-CORE-OPS,Issue resolved,Ticket closed after validation checks passed.
Z_INM200117A001,In Progress,G-RAN-BO-VFRO-ZV,Network-Incident,Transport Congestion,3,RoboNOC ticket for OXVJXJ8; detected event: transport congestion,3/5/2026 2:27,3/5/2026 23:27,OXVJXJ8,TSE6E,G-RAN-BO-VFRO-ZV,Root cause fixed,Alarm cleared after software patch deployment. No recurrence observed in the last monitoring window.
Z_INM200118A001,In Progress,G-IP-OPS,Network-Incident,Transport Congestion,1,RoboNOC ticket for OXVS4EZ; detected event: transport congestion,3/5/2026 2:28,3/7/2026 13:28,OXVS4EZ,BTY19,G-RAN-BO-VFRO-ZV,No impact confirmed,Hardware module reset remotely. Traffic restored without errors.
Z_INM200119A001,Closed,G-CORE-OPS,Network-Incident,High CPU Usage,2,RoboNOC ticket for OXV6MDD; detected event: high cpu usage,3/5/2026 2:29,3/5/2026 9:29,OXV6MDD,JXYX8,G-RAN-FO-VFRO-ZV,No impact confirmed,Alarm cleared automatically after transient spike. No further action required.
Z_INM200120A001,Open,G-CORE-OPS,Network-Incident,Transport Congestion,5,RoboNOC ticket for OXVHFWA; detected event: transport congestion,3/5/2026 2:30,3/5/2026 9:30,OXVHFWA,3D42L,G-IP-OPS,Kein Fehler - Ticket zurückgezogen,Capacity threshold updated to prevent future false alerts. No recurrence observed in the last monitoring window.
Z_INM200121A001,In Progress,G-RAN-BO-VFRO-ZV,Network-Incident,Transport Congestion,4,RoboNOC ticket for OXVTZ69; detected event: transport congestion,3/5/2026 2:31,3/5/2026 6:31,OXVTZ69,FT8QZ,G-RAN-BO-VFRO-ZV,No impact confirmed,Transport link restored after provider-side fix. Monitoring continued.
Z_INM200122A001,In Progress,G-CORE-OPS,Network-Incident,Packet Loss Detected,5,RoboNOC ticket for OXVHJLG; detected event: packet loss detected,3/5/2026 2:32,3/7/2026 9:32,OXVHJLG,ODIQA,G-IP-OPS,Kein Fehler - Ticket zurückgezogen,False positive alarm generated by monitoring system. Ticket closed.
Z_INM200123A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Transport Congestion,2,RoboNOC ticket for OXVN9FT; detected event: transport congestion,3/5/2026 2:33,3/8/2026 0:33,OXVN9FT,V25MQ,G-IP-OPS,No impact confirmed,High load condition normalized after capacity rebalancing. Additional validation checks completed successfully.
Z_INM200124A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,2,RoboNOC ticket for OXV0T83; detected event: störung - rbs - huawei 4g,3/5/2026 2:34,3/6/2026 15:34,OXV0T83,36TDF,G-IP-OPS,Issue resolved,Root cause identified as configuration mismatch. Parameters adjusted accordingly.
Z_INM200125A001,Open,G-IP-OPS,Network-Incident,High CPU Usage,1,RoboNOC ticket for OXVU80Y; detected event: high cpu usage,3/5/2026 2:35,3/6/2026 19:35,OXVU80Y,WHMP9,G-RAN-BO-VFRO-ZV,Monitoring ongoing,Problem resolved during investigation; no reproducible issue.
Z_INM200126A001,Closed,G-RAN-FO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,5,RoboNOC ticket for OXVQ9J3; detected event: störung - rbs - huawei 4g,3/5/2026 2:36,3/5/2026 12:36,OXVQ9J3,FBZPA,G-RAN-BO-VFRO-ZV,Issue resolved,"Intermittent issue mitigated, root cause still under observation."
Z_INM200127A001,Open,G-IP-OPS,Network-Incident,Transport Congestion,3,RoboNOC ticket for OXVP3TS; detected event: transport congestion,3/5/2026 2:37,3/7/2026 23:37,OXVP3TS,KJMO6,G-CORE-OPS,No impact confirmed,Configuration rollback applied to previous stable version.
Z_INM200128A001,In Progress,G-CORE-OPS,Network-Incident,Packet Loss Detected,5,RoboNOC ticket for OXVYNDP; detected event: packet loss detected,3/5/2026 2:38,3/5/2026 7:38,OXVYNDP,IAAY4,G-RAN-BO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,High load condition normalized after capacity rebalancing.
Z_INM200129A001,Open,G-IP-OPS,Network-Incident,Transport Congestion,1,RoboNOC ticket for OXVCCDQ; detected event: transport congestion,3/5/2026 2:39,3/7/2026 7:39,OXVCCDQ,CBP02,G-CORE-OPS,Monitoring ongoing,Capacity threshold updated to prevent future false alerts.
Z_INM200130A001,Open,G-CORE-OPS,Network-Incident,Link Down,3,RoboNOC ticket for OXVD59R; detected event: link down,3/5/2026 2:40,3/6/2026 14:40,OXVD59R,ZVDN8,G-IP-OPS,Monitoring ongoing,Transport link restored after provider-side fix. Monitoring continued. No recurrence observed in the last monitoring window.
Z_INM200131A001,In Progress,G-IP-OPS,Network-Incident,Transport Congestion,1,RoboNOC ticket for OXVIZOM; detected event: transport congestion,3/5/2026 2:41,3/6/2026 14:41,OXVIZOM,P5NXI,G-IP-OPS,No impact confirmed,Manual intervention performed: service restarted and stability confirmed.
Z_INM200132A001,Closed,G-CORE-OPS,Network-Incident,Transport Congestion,3,RoboNOC ticket for OXVLHL9; detected event: transport congestion,3/5/2026 2:42,3/7/2026 22:42,OXVLHL9,1ZF4L,G-RAN-FO-VFRO-ZV,Root cause fixed,Transport link restored after provider-side fix. Monitoring continued.
Z_INM200133A001,In Progress,G-IP-OPS,Network-Incident,Packet Loss Detected,1,RoboNOC ticket for OXVWI18; detected event: packet loss detected,3/5/2026 2:43,3/6/2026 21:43,OXVWI18,0RT11,G-CORE-OPS,No impact confirmed,Signal fluctuation detected; no persistent fault found.
Z_INM200134A001,In Progress,G-IP-OPS,Network-Incident,Packet Loss Detected,2,RoboNOC ticket for OXV0VBC; detected event: packet loss detected,3/5/2026 2:44,3/7/2026 6:44,OXV0VBC,J5X54,G-CORE-OPS,Kein Fehler - Ticket zurückgezogen,"Temporary degradation observed, system self-recovered."
Z_INM200135A001,Closed,G-CORE-OPS,Network-Incident,Packet Loss Detected,5,RoboNOC ticket for OXV8IXM; detected event: packet loss detected,3/5/2026 2:45,3/7/2026 15:45,OXV8IXM,01KKQ,G-RAN-FO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,"Temporary degradation observed, system self-recovered. No recurrence observed in the last monitoring window."
Z_INM200136A001,Open,G-IP-OPS,Network-Incident,Packet Loss Detected,1,RoboNOC ticket for OXVWTDM; detected event: packet loss detected,3/5/2026 2:46,3/7/2026 11:46,OXVWTDM,45T8N,G-RAN-BO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,Root cause identified as configuration mismatch. Parameters adjusted accordingly.
Z_INM200137A001,Closed,G-IP-OPS,Network-Incident,High CPU Usage,1,RoboNOC ticket for OXVI1LI; detected event: high cpu usage,3/5/2026 2:47,3/7/2026 7:47,OXVI1LI,HO0QC,G-RAN-BO-VFRO-ZV,No impact confirmed,Ticket closed after validation checks passed. No recurrence observed in the last monitoring window.
Z_INM200138A001,In Progress,G-RAN-FO-VFRO-ZV,Network-Incident,Transport Congestion,4,RoboNOC ticket for OXV8IR7; detected event: transport congestion,3/5/2026 2:48,3/8/2026 2:48,OXV8IR7,KP51V,G-IP-OPS,Monitoring ongoing,Service impact minimal; corrective action implemented.
Z_INM200139A001,Closed,G-IP-OPS,Network-Incident,Transport Congestion,5,RoboNOC ticket for OXVN28S; detected event: transport congestion,3/5/2026 2:49,3/7/2026 12:49,OXVN28S,C52II,G-RAN-BO-VFRO-ZV,Issue resolved,Root cause identified as configuration mismatch. Parameters adjusted accordingly. No recurrence observed in the last monitoring window.
Z_INM200140A001,Closed,G-CORE-OPS,Network-Incident,Störung - RBS - Huawei 4G,1,RoboNOC ticket for OXV4ENT; detected event: störung - rbs - huawei 4g,3/5/2026 2:50,3/6/2026 22:50,OXV4ENT,RIVNJ,G-RAN-FO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,Issue correlated with planned maintenance. No action needed.
Z_INM200141A001,In Progress,G-RAN-BO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,1,RoboNOC ticket for OXV3FDH; detected event: störung - rbs - huawei 4g,3/5/2026 2:51,3/7/2026 2:51,OXV3FDH,GPYP4,G-RAN-BO-VFRO-ZV,Monitoring ongoing,Alarm cleared automatically after transient spike. No further action required.
Z_INM200142A001,In Progress,G-RAN-FO-VFRO-ZV,Network-Incident,Link Down,1,RoboNOC ticket for OXV7FZJ; detected event: link down,3/5/2026 2:52,3/7/2026 21:52,OXV7FZJ,P3JT9,G-IP-OPS,Monitoring ongoing,Problem resolved during investigation; no reproducible issue. No recurrence observed in the last monitoring window.
Z_INM200143A001,Closed,G-IP-OPS,Network-Incident,Link Down,4,RoboNOC ticket for OXV61EB; detected event: link down,3/5/2026 2:53,3/7/2026 19:53,OXV61EB,BRI7D,G-RAN-FO-VFRO-ZV,No impact confirmed,Hardware module reset remotely. Traffic restored without errors.
Z_INM200144A001,Closed,G-RAN-BO-VFRO-ZV,Network-Incident,High CPU Usage,1,RoboNOC ticket for OXV9B1Z; detected event: high cpu usage,3/5/2026 2:54,3/7/2026 9:54,OXV9B1Z,WQS7T,G-RAN-BO-VFRO-ZV,Issue resolved,Network element unreachable briefly; connectivity restored.
Z_INM200145A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Transport Congestion,4,RoboNOC ticket for OXVJYAY; detected event: transport congestion,3/5/2026 2:55,3/5/2026 6:55,OXVJYAY,RB92Z,G-IP-OPS,No impact confirmed,"Escalated to vendor, fix applied and verified. Additional validation checks completed successfully."
Z_INM200146A001,In Progress,G-RAN-FO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,4,RoboNOC ticket for OXVMF3G; detected event: störung - rbs - huawei 4g,3/5/2026 2:56,3/5/2026 19:56,OXVMF3G,0AHKL,G-RAN-BO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,CPU spike resolved after process optimization. Additional validation checks completed successfully.
Z_INM200147A001,In Progress,G-CORE-OPS,Network-Incident,Packet Loss Detected,3,RoboNOC ticket for OXVATF6; detected event: packet loss detected,3/5/2026 2:57,3/6/2026 0:57,OXVATF6,RWQKI,G-IP-OPS,Issue resolved,CPU spike resolved after process optimization. No recurrence observed in the last monitoring window.
Z_INM200148A001,In Progress,G-RAN-FO-VFRO-ZV,Network-Incident,Transport Congestion,2,RoboNOC ticket for OXVSSDT; detected event: transport congestion,3/5/2026 2:58,3/8/2026 1:58,OXVSSDT,YBODO,G-IP-OPS,No impact confirmed,High load condition normalized after capacity rebalancing. No recurrence observed in the last monitoring window.
Z_INM200149A001,Closed,G-RAN-BO-VFRO-ZV,Network-Incident,Link Down,5,RoboNOC ticket for OXVQZ9L; detected event: link down,3/5/2026 2:59,3/7/2026 1:59,OXVQZ9L,K8MXB,G-RAN-FO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,Network element unreachable briefly; connectivity restored. Additional validation checks completed successfully.
Z_INM200150A001,Closed,G-RAN-FO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,1,RoboNOC ticket for OXVVJQI; detected event: störung - rbs - huawei 4g,3/5/2026 3:00,3/6/2026 10:00,OXVVJQI,2X7RS,G-RAN-BO-VFRO-ZV,Root cause fixed,CPU spike resolved after process optimization.
Z_INM200151A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,High CPU Usage,2,RoboNOC ticket for OXVA392; detected event: high cpu usage,3/5/2026 3:01,3/8/2026 2:01,OXVA392,V84VY,G-RAN-FO-VFRO-ZV,Root cause fixed,"Temporary degradation observed, system self-recovered. Additional validation checks completed successfully."
Z_INM200152A001,In Progress,G-RAN-FO-VFRO-ZV,Network-Incident,High CPU Usage,2,RoboNOC ticket for OXVWQVJ; detected event: high cpu usage,3/5/2026 3:02,3/7/2026 22:02,OXVWQVJ,DZUOX,G-IP-OPS,Kein Fehler - Ticket zurückgezogen,Network element unreachable briefly; connectivity restored. No recurrence observed in the last monitoring window.
Z_INM200153A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Packet Loss Detected,3,RoboNOC ticket for OXVLLTN; detected event: packet loss detected,3/5/2026 3:03,3/7/2026 22:03,OXVLLTN,FMM19,G-IP-OPS,Kein Fehler - Ticket zurückgezogen,Alarm cleared after software patch deployment. No recurrence observed in the last monitoring window.
Z_INM200154A001,In Progress,G-CORE-OPS,Network-Incident,Transport Congestion,3,RoboNOC ticket for OXVIPNR; detected event: transport congestion,3/5/2026 3:04,3/5/2026 20:04,OXVIPNR,V49GX,G-RAN-BO-VFRO-ZV,Kein Fehler - Ticket zurückgezogen,Hardware module reset remotely. Traffic restored without errors.
Z_INM200155A001,In Progress,G-RAN-FO-VFRO-ZV,Network-Incident,Packet Loss Detected,5,RoboNOC ticket for OXVJM7E; detected event: packet loss detected,3/5/2026 3:05,3/6/2026 22:05,OXVJM7E,V8IF4,G-IP-OPS,No impact confirmed,Capacity threshold updated to prevent future false alerts.
Z_INM200156A001,Closed,G-RAN-BO-VFRO-ZV,Network-Incident,Transport Congestion,3,RoboNOC ticket for OXVCEL8; detected event: transport congestion,3/5/2026 3:06,3/7/2026 10:06,OXVCEL8,Z08OC,G-RAN-BO-VFRO-ZV,Issue resolved,False positive alarm generated by monitoring system. Ticket closed.
Z_INM200157A001,Closed,G-RAN-BO-VFRO-ZV,Network-Incident,Transport Congestion,1,RoboNOC ticket for OXV0MSH; detected event: transport congestion,3/5/2026 3:07,3/5/2026 16:07,OXV0MSH,OFBQX,G-CORE-OPS,Kein Fehler - Ticket zurückgezogen,Ticket closed after validation checks passed.
Z_INM200158A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,1,RoboNOC ticket for OXVPCE2; detected event: störung - rbs - huawei 4g,3/5/2026 3:08,3/7/2026 20:08,OXVPCE2,9V3C6,G-IP-OPS,Issue resolved,Capacity threshold updated to prevent future false alerts.
Z_INM200159A001,Open,G-IP-OPS,Network-Incident,Packet Loss Detected,3,RoboNOC ticket for OXV8QX7; detected event: packet loss detected,3/5/2026 3:09,3/6/2026 20:09,OXV8QX7,T21D4,G-RAN-BO-VFRO-ZV,No impact confirmed,False positive alarm generated by monitoring system. Ticket closed. Additional validation checks completed successfully.
Z_INM200160A001,In Progress,G-RAN-BO-VFRO-ZV,Network-Incident,High CPU Usage,4,RoboNOC ticket for OXVKHDQ; detected event: high cpu usage,3/5/2026 3:10,3/6/2026 8:10,OXVKHDQ,19BXI,G-IP-OPS,Issue resolved,Problem resolved during investigation; no reproducible issue.
Z_INM200161A001,Closed,G-IP-OPS,Network-Incident,Transport Congestion,5,RoboNOC ticket for OXV4RHV; detected event: transport congestion,3/5/2026 3:11,3/7/2026 19:11,OXV4RHV,JCI9O,G-IP-OPS,Issue resolved,Signal fluctuation detected; no persistent fault found. Additional validation checks completed successfully. No recurrence observed in the last monitoring window.
Z_INM200162A001,Closed,G-IP-OPS,Network-Incident,Packet Loss Detected,4,RoboNOC ticket for OXVE1VM; detected event: packet loss detected,3/5/2026 3:12,3/7/2026 11:12,OXVE1VM,PNMNJ,G-CORE-OPS,No impact confirmed,Hardware module reset remotely. Traffic restored without errors.
Z_INM200163A001,In Progress,G-IP-OPS,Network-Incident,Transport Congestion,5,RoboNOC ticket for OXVCP7B; detected event: transport congestion,3/5/2026 3:13,3/6/2026 0:13,OXVCP7B,47VUY,G-CORE-OPS,Issue resolved,Manual intervention performed: service restarted and stability confirmed. Additional validation checks completed successfully.
Z_INM200164A001,In Progress,G-IP-OPS,Network-Incident,High CPU Usage,3,RoboNOC ticket for OXV6TJ8; detected event: high cpu usage,3/5/2026 3:14,3/7/2026 20:14,OXV6TJ8,3UPOH,G-RAN-BO-VFRO-ZV,No impact confirmed,Configuration rollback applied to previous stable version. Additional validation checks completed successfully. No recurrence observed in the last monitoring window.
Z_INM200165A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Transport Congestion,4,RoboNOC ticket for OXVZPWI; detected event: transport congestion,3/5/2026 3:15,3/5/2026 16:15,OXVZPWI,F0VS1,G-RAN-BO-VFRO-ZV,Monitoring ongoing,Root cause identified as configuration mismatch. Parameters adjusted accordingly.
Z_INM200166A001,Closed,G-RAN-FO-VFRO-ZV,Network-Incident,High CPU Usage,2,RoboNOC ticket for OXV18RT; detected event: high cpu usage,3/5/2026 3:16,3/5/2026 13:16,OXV18RT,2Y0GL,G-RAN-FO-VFRO-ZV,Issue resolved,Issue correlated with planned maintenance. No action needed.
Z_INM200167A001,In Progress,G-RAN-FO-VFRO-ZV,Network-Incident,High CPU Usage,5,RoboNOC ticket for OXV8Z7W; detected event: high cpu usage,3/5/2026 3:17,3/8/2026 1:17,OXV8Z7W,1TCTR,G-RAN-BO-VFRO-ZV,Issue resolved,"Temporary degradation observed, system self-recovered."
Z_INM200168A001,In Progress,G-RAN-BO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,4,RoboNOC ticket for OXVWG70; detected event: störung - rbs - huawei 4g,3/5/2026 3:18,3/7/2026 0:18,OXVWG70,AW00B,G-CORE-OPS,No impact confirmed,Problem resolved during investigation; no reproducible issue. Additional validation checks completed successfully.
Z_INM200169A001,Open,G-RAN-FO-VFRO-ZV,Network-Incident,Störung - RBS - Huawei 4G,4,RoboNOC ticket for OXVL9VT; detected event: störung - rbs - huawei 4g,3/5/2026 3:19,3/6/2026 21:19,OXVL9VT,K2BAI,G-IP-OPS,Monitoring ongoing,Network element unreachable briefly; connectivity restored.
